"horodatage","date","heure","jour_semaine","jour_index","est_weekend","zone_campus","latitude","longitude","brut_MQ135_ADC","brut_MQ7_ADC","CO_ppm","CO2_ppm","NH3_ppm","temperature_C","humidite_pct","pression_hPa","altitude_m","score_vegetation","AQI_calcule","AQI_categorie","periode_journee","gps_valide"
"2026-05-12 00:00:00","2026-05-12",0,"Mardi",2,"False","Amphi_Central",5.344601,-3.991185,519,198,1.68,380.9,1.08,25.1,88,1013.2,95.2,0.145,6.3,"Bon","Nuit","True"
"2026-05-12 00:00:00","2026-05-12",0,"Mardi",2,"False","Cites_Univ",5.337945,-3.995029,531,307,3.47,411.4,1.63,25.5,89.7,1011.6,82.2,0.237,8,"Bon","Nuit","True"
"2026-05-12 00:00:00","2026-05-12",0,"Mardi",2,"False","Parking_Entree",5.348827,-3.987946,530,495,7.95,408.3,1.3,24,87.9,1012.6,98.4,0.055,9.9,"Bon","Nuit","True"
"2026-05-12 00:00:00","2026-05-12",0,"Mardi",2,"False","Restaurant_U",5.341331,-3.989077,526,200,1.71,397.8,1.69,24.5,91.2,1012.5,88.2,0.111,7,"Bon","Nuit","True"
"2026-05-12 00:00:00","2026-05-12",0,"Mardi",2,"False","Zone_Verte",5.340569,-3.991768,521,156,1.14,384.5,0.5,24.6,89,1013,91.7,0.812,5.6,"Bon","Nuit","True"
"2026-05-12 00:05:00","2026-05-12",0,"Mardi",2,"False","Amphi_Central",5.344586,-3.991206,517,183,1.48,375,1.11,24.5,91.6,1012,95.6,0.144,6.1,"Bon","Nuit","True"
"2026-05-12 00:05:00","2026-05-12",0,"Mardi",2,"False","Cites_Univ",5.337949,-3.995048,540,273,2.85,436.3,1.26,24.5,93.4,1011.9,82.3,0.238,7.7,"Bon","Nuit","False"
"2026-05-12 00:05:00","2026-05-12",0,"Mardi",2,"False","Parking_Entree",5.348807,-3.987962,521,430,6.18,384.1,1.41,24.7,92.9,1012.2,98.3,0.05,8.8,"Bon","Nuit","True"
"2026-05-12 00:05:00","2026-05-12",0,"Mardi",2,"False","Restaurant_U",5.341345,-3.989109,553,213,1.89,473.1,1.6,24.7,96.7,1012.6,88.8,0.113,7.9,"Bon","Nuit","True"
"2026-05-12 00:05:00","2026-05-12",0,"Mardi",2,"False","Zone_Verte",5.340597,-3.991747,517,144,1.01,375,0.5,24.3,87.6,1012.5,92.2,0.814,5.4,"Bon","Nuit","True"
"2026-05-12 00:10:00","2026-05-12",0,"Mardi",2,"False","Amphi_Central",5.344595,-3.991186,517,184,1.49,375,0.98,25.1,87.4,1012.3,95.3,0.142,6,"Bon","Nuit","True"
"2026-05-12 00:10:00","2026-05-12",0,"Mardi",2,"False","Cites_Univ",5.337963,-3.995055,527,294,3.22,399.8,1.25,24,88.5,1011.6,82.3,0.24,7.4,"Bon","Nuit","True"
"2026-05-12 00:10:00","2026-05-12",0,"Mardi",2,"False","Parking_Entree",5.348796,-3.987969,542,481,7.56,440.3,1.2,24.3,92.7,1012.7,98.6,0.051,10,"Bon","Nuit","True"
"2026-05-12 00:10:00","2026-05-12",0,"Mardi",2,"False","Restaurant_U",5.341354,-3.989097,524,164,1.24,393.7,1.51,25.1,89.2,1012.5,88.4,0.111,6.6,"Bon","Nuit","True"
"2026-05-12 00:10:00","2026-05-12",0,"Mardi",2,"False","Zone_Verte",5.34061,-3.991766,517,155,1.13,375,0.52,24.9,91.5,1012.9,92.2,0.812,5.5,"Bon","Nuit","True"
"2026-05-12 00:15:00","2026-05-12",0,"Mardi",2,"False","Amphi_Central",5.344562,-3.99121,517,212,1.87,375,1.05,24.9,92.3,1011.8,95.6,0.147,6.3,"Bon","Nuit","True"
"2026-05-12 00:15:00","2026-05-12",0,"Mardi",2,"False","Cites_Univ",5.337958,-3.995035,524,300,3.33,393.8,1.2,24,90.1,1011.6,82.5,0.235,7.4,"Bon","Nuit","True"
"2026-05-12 00:15:00","2026-05-12",0,"Mardi",2,"False","Parking_Entree",5.348816,-3.987957,519,521,8.73,380.4,1.39,25.6,86.2,1012.1,98,0.056,10,"Bon","Nuit","True"
"2026-05-12 00:15:00","2026-05-12",0,"Mardi",2,"False","Restaurant_U",5.341364,-3.989116,529,167,1.28,405.4,1.41,24.6,92.4,1012.1,88.5,0.113,6.6,"Bon","Nuit","True"
"2026-05-12 00:15:00","2026-05-12",0,"Mardi",2,"False","Zone_Verte",5.340602,-3.991749,517,153,1.11,375,0.55,24.8,92.7,1013,92.2,0.811,5.5,"Bon","Nuit","True"
"2026-05-12 00:20:00","2026-05-12",0,"Mardi",2,"False","Amphi_Central",5.344587,-3.991188,517,199,1.69,375,0.93,24.9,92.6,1012.2,95.4,0.141,6.1,"Bon","Nuit","True"
"2026-05-12 00:20:00","2026-05-12",0,"Mardi",2,"False","Cites_Univ",5.337948,-3.995049,525,295,3.24,394.2,1.44,24.4,92.8,1011.9,82.6,0.24,7.5,"Bon","Nuit","True"
"2026-05-12 00:20:00","2026-05-12",0,"Mardi",2,"False","Parking_Entree",5.348801,-3.987944,517,493,7.89,375,1.7,25.1,91.2,1012.1,98.8,0.051,9.8,"Bon","Nuit","True"
